Material,Category,Old sell,New sell,Derived buy (5x),Daily-full,Primary acquisition,Modeled output/hour,Modeled $/hour,Justification
CHERRY_LOG,WOOD,2.38,2.38,11.9,2048,"Semi-automatic tree farm, needs replanting or a machine",6300,14994,Rare biome tree farm
PALE_OAK_LOG,WOOD,2.38,2.38,11.9,2048,"Semi-automatic tree farm, needs replanting or a machine",6300,14994,Rare biome tree farm
CRIMSON_STEM,WOOD,2.38,2.38,11.9,2048,"Semi-automatic tree farm, needs replanting or a machine",6300,14994,Nether fungus farm; bonemeal driven
WARPED_STEM,WOOD,2.38,2.38,11.9,2048,"Semi-automatic tree farm, needs replanting or a machine",6300,14994,Nether fungus farm; bonemeal driven
CHARCOAL,WOOD,2.38,2.38,11.9,2048,"Semi-automatic tree farm, needs replanting or a machine",6300,14994,"Infinitely renewable from trees, so priced under coal"
OAK_LOG,WOOD,1.9,1.9,9.5,4096,"Semi-automatic tree farm, needs replanting or a machine",7900,15010,Semi-automatic tree farm
SPRUCE_LOG,WOOD,1.9,1.9,9.5,4096,"Semi-automatic tree farm, needs replanting or a machine",7900,15010,Semi-automatic tree farm
BIRCH_LOG,WOOD,1.9,1.9,9.5,4096,"Semi-automatic tree farm, needs replanting or a machine",7900,15010,Semi-automatic tree farm
JUNGLE_LOG,WOOD,1.9,1.9,9.5,4096,"Semi-automatic tree farm, needs replanting or a machine",7900,15010,Semi-automatic tree farm
ACACIA_LOG,WOOD,1.9,1.9,9.5,4096,"Semi-automatic tree farm, needs replanting or a machine",7900,15010,Semi-automatic tree farm
DARK_OAK_LOG,WOOD,1.9,1.9,9.5,4096,"Semi-automatic tree farm, needs replanting or a machine",7900,15010,Semi-automatic tree farm
MANGROVE_LOG,WOOD,1.9,1.9,9.5,4096,"Semi-automatic tree farm, needs replanting or a machine",7900,15010,Semi-automatic tree farm
DIAMOND,MINING,40,40.0,200.0,512,"Branch/cave mining, non-renewable, tool wear",500,20000,Still mined by hand; the benchmark of a survival economy
EMERALD,MINING,16,16.0,80.0,1536,Raid farm or villager trading hall infrastructure,3200,51200,Villager trading hall or raid farm; the trading economy
OBSIDIAN,MINING,14,14.0,70.0,1024,"Branch/cave mining, non-renewable, tool wear",1450,20300,Diamond pickaxe and nine seconds a block
IRON_INGOT,MINING,11,11.0,55.0,8192,"Large purpose-built vanilla farm, major investment",4400,48400,Iron golem farm; premium infrastructure
RAW_IRON,MINING,9.52,4.76,23.8,3072,"Branch/cave mining, non-renewable, tool wear",2100,9996,Mined ore; smelts one-for-one into ingots
GOLD_INGOT,MINING,6.49,3.57,17.85,3072,"Large purpose-built vanilla farm, major investment",7400,26418,"Nether gold farm; huge throughput, serious build"
AMETHYST_SHARD,MINING,3.57,3.57,17.85,2048,"Branch/cave mining, non-renewable, tool wear",5600,19992,Geodes regrow slowly and cannot be sped up
GLOWSTONE_DUST,MINING,3.2,3.2,16.0,3072,"Large purpose-built vanilla farm, major investment",15000,48000,Nether ceiling harvesting or a witch farm
COAL,MINING,3.17,3.17,15.85,3072,"Branch/cave mining, non-renewable, tool wear",6300,19971,Mined only; no farm produces it
LAPIS_LAZULI,MINING,3.17,3.17,15.85,3072,"Branch/cave mining, non-renewable, tool wear",6300,19971,Enchanting keeps demand permanent
QUARTZ,MINING,3.17,3.17,15.85,3072,"Branch/cave mining, non-renewable, tool wear",6300,19971,"Nether trip, abundant once there"
GLASS,MINING,3.08,3.08,15.4,4096,"Branch/cave mining, non-renewable, tool wear",6500,20020,"Sand plus fuel, so above sand"
RAW_GOLD,MINING,6.06,3.03,15.15,2048,"Branch/cave mining, non-renewable, tool wear",3300,9999,Mined ore; smelts one-for-one into ingots
PACKED_ICE,MINING,3.03,3.03,15.15,2048,"Branch/cave mining, non-renewable, tool wear",6600,19998,"Nine ice, or glacier mining"
REDSTONE,MINING,2.6,2.6,13.0,3072,"Branch/cave mining, non-renewable, tool wear",7700,20020,Abundant in caves; permanent demand
SAND,MINING,2.11,2.11,10.55,8192,"Branch/cave mining, non-renewable, tool wear",9500,20045,"Not renewable; glass, concrete and TNT all eat it"
RED_SAND,MINING,2.11,2.11,10.55,4096,"Branch/cave mining, non-renewable, tool wear",9500,20045,Badlands only
